epochs,k,lr,reg,train_rmse,val_rmse
20,100,0.005,0.05,0.8647567212477528,0.8966559227198826
10,20,0.01,0.005,0.8690925934250023,0.8967669696472924
10,100,0.005,0.005,0.8665949058704767,0.896787173452564
10,20,0.005,0.02,0.8676365587760468,0.8968059768033675
20,50,0.005,0.05,0.8656128734334947,0.8968062242687063
20,20,0.005,0.05,0.8662404430349699,0.896861065653896
10,100,0.005,0.02,0.8670064323454917,0.8968702108665281
10,100,0.005,0.05,0.8677749439545914,0.8968793494826475
50,50,0.001,0.02,0.8638979681563159,0.8969196620974418
10,100,0.01,0.005,0.8659503432180072,0.8969204167875884
50,100,0.001,0.02,0.8634312150983796,0.8969315076537251
50,100,0.001,0.05,0.8642655646213397,0.8969469916077121
20,50,0.005,0.02,0.8648361021036115,0.896947290018088
50,20,0.001,0.02,0.8642011858250231,0.8969510152342056
20,10,0.005,0.05,0.866416099938662,0.896962664144982
50,10,0.001,0.02,0.8642896296169436,0.8969635001573245
50,100,0.001,0.005,0.8630741117175891,0.8969642888215758
50,50,0.001,0.005,0.8636146164921208,0.8969728065782436
10,50,0.005,0.05,0.8681006207192119,0.8969914035798611
50,50,0.001,0.05,0.8646538776582188,0.8970035973254593
50,20,0.001,0.05,0.8648822862134048,0.897005519348415
10,50,0.005,0.02,0.8673922372926568,0.8970065590872535
50,10,0.001,0.05,0.8649437999996975,0.8970084706873154
10,100,0.01,0.05,0.8683852704161484,0.8970202983880319
50,10,0.001,0.005,0.8640256227106788,0.8970317747557812
50,20,0.001,0.005,0.8639114146977813,0.8970560952061447
10,50,0.005,0.005,0.8670612816990633,0.8970713142792192
20,100,0.005,0.02,0.8630528258008594,0.8970972041168069
10,20,0.005,0.005,0.867330474828908,0.8971005029324175
10,10,0.005,0.02,0.8677233046401984,0.8971018381852771
20,50,0.005,0.005,0.8641953095010624,0.8971168682716295
20,10,0.005,0.02,0.8659456140642076,0.8971625265792854
